x, y
1.000,1.000
0.800,0.714
0.600,0.510
0.400,0.364
0.200,0.260
0.000,0.186
0.000,0.133
0.000,0.095
0.000,0.068
0.000,0.048
0.000,0.035
0.000,0.025
0.000,0.018
0.000,0.013
0.000,0.009
0.000,0.006
0.000,0.005
0.000,0.003
0.000,0.002
0.000,0.002
0.000,0.001
0.000,0.001
0.000,0.001
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
0.000,0.000
